Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.document-core.json	95213	-	0	0	0	0	0	0	28	74	0	0	0	0	0	1	0	2	0	0	33	404	989	0	0	0	18	0	5
fsh-generated/resources/ConceptMap-FRAdvanceDirectiveLMCDAFHIR.json	6874	5	0	0	1	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	11	64	170	0	0	0	4	0	0
fsh-generated/resources/ConceptMap-FRAdverseDrugReactionLMCDAFHIR.json	6632	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	10	63	149	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRAllergyIntoleranceLMCDAFHIR.json	11404	4	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	10	92	93	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRAttachmentLMCDAFHIR.json	4623	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	7	42	70	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAttesterLMCDAFHIR.json	2945	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	25	86	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAuthorLMCDAFHIR.json	2394	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	5	21	51	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRCarePlanLMCDAFHIR.json	4729	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	4	39	57	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRConditionLMCDAFHIR.json	8220	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	4	67	68	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRConsentLMCDAFHIR.json	2991	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	27	48	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRCustodianLMCDAFHIR.json	3212	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	28	50	0	1	0	0	0	0
fsh-generated/resources/ConceptMap-FRDataEntererLMCDAFHIR.json	2967	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	25	44	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDeviceLMCDAFHIR.json	8015	2	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	4	58	60	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRDeviceUseLMCDAFHIR.json	8513	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	68	62	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FREncounterLMCDAFHIR.json	12909	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	4	101	67	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoryLMCDAFHIR.json	6741	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	57	63	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRHeaderDocumentLMCDAFHIR.json	17199	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	1	0	0	3	129	87	0	0	0	4	0	0
fsh-generated/resources/ConceptMap-FRHealthProfessionalLMCDAFHIR.json	9628	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	4	76	77	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImagingMedicationAministrationLMCDAFHIR.json	10064	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	87	77	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImagingProcedureLMCDAFHIR.json	7689	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	3	64	56	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingQuantityExposureLMCDAFHIR.json	4112	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	35	45	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingSeriesLMCDAFHIR.json	10854	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	79	62	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-FRImagingStudyLMCDAFHIR.json	7414	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	4	56	51	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImmunisationLMCDAFHIR.json	9239	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	77	56	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRInformantLMCDAFHIR.json	4420	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	33	41	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRIntendedRecipientLMCDAFHIR.json	5782	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	43	47	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryBatteryResultsLMCDAFHIR.json	8483	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	69	55	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryIsolateResultsLMCDAFHIR.json	10671	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	3	80	55	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultClinicalElementLMCDAFHIR.json	10167	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	3	78	60	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultsLMCDAFHIR.json	9849	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	4	74	63	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLegalAuthenticationLMCDAFHIR.json	3621	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	27	40	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRMediaLMCDAFHIR.json	6307	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	48	47	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRMedicationAdministrationLMCDAFHIR.json	14489	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	3	107	64	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRMedicationDispenseLMCDAFHIR.json	24546	4	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	5	174	86	0	0	0	5	0	0
