"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMFamilyMedicalHistory","FRLMFamilyMedicalHistory","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Family Medical History","Section Antécédents familiaux","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMFamilyMedicalHistory.codeSection","FRLMFamilyMedicalHistory.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"FRLMSection.codeSection",1,1,"",""
"FRLMFamilyMedicalHistory.titleSection","FRLMFamilyMedicalHistory.titleSection","","","",0,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"FRLMSection.titleSection",0,1,"",""
"FRLMFamilyMedicalHistory.description","FRLMFamilyMedicalHistory.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"FRLMSection.description",1,1,"",""
"FRLMFamilyMedicalHistory.author[x]","FRLMFamilyMedicalHistory.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x]",0,*,"",""
"FRLMFamilyMedicalHistory.author[x].authorProfessional","FRLMFamilyMedicalHistory.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorProfessional",0,*,"",""
"FRLMFamilyMedicalHistory.author[x].authorOrganisation","FRLMFamilyMedicalHistory.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorOrganisation",0,*,"",""
"FRLMFamilyMedicalHistory.author[x].authorDevice","FRLMFamilyMedicalHistory.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDevice {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorDevice",0,*,"",""
"FRLMFamilyMedicalHistory.informant","FRLMFamilyMedicalHistory.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMInformant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"FRLMSection.informant",0,*,"",""
"FRLMFamilyMedicalHistory.subSection","FRLMFamilyMedicalHistory.subSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"FRLMSection.subSection",0,*,"",""
"FRLMFamilyMedicalHistory.entry","FRLMFamilyMedicalHistory.entry","","","",1,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"FRLMSection.entry",0,*,"",""
"FRLMFamilyMedicalHistory.entry.familyMemberHistory","FRLMFamilyMedicalHistory.entry.familyMemberHistory","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMFamilyMemberHistory {[]} {[]}
","Entrée Antécédents familiaux","Entrée Antécédents familiaux","","","","","","","","","",,,,,"",,,,"FRLMFamilyMedicalHistory.entry.familyMemberHistory",1,*,"",""
