"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMParticipant","FRLMParticipant","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Participant","Personne/Structure impliquée dans les évènements décrits par le document qui n'a pas été mentionné ailleurs.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMParticipant.identifier","FRLMParticipant.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiants de la personne","Identifiants de la personne","","","","","","","","","",,,,,"",,,,"FRLMParticipant.identifier",0,*,"",""
"FRLMParticipant.name","FRLMParticipant.name","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHumanName {[]} {[]}
","Nom de la personne","Nom de la personne","","","","","","","","","",,,,,"",,,,"FRLMParticipant.name",0,*,"",""
"FRLMParticipant.type","FRLMParticipant.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de participation","Type de participation","","","","","","","","","",,"required","jdv-hl7-v3-ParticipationType-cisis (2.16.840.1.113883.1.11.10901)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ParticipationType-cisis|20260420150251","",,,,"FRLMParticipant.type",1,1,"",""
"FRLMParticipant.role","FRLMParticipant.role","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Rôle fonctionnel","Rôle fonctionnel","","","","","","","","","",,"required","JDV_J47_FunctionCode_CISIS (1.2.250.1.213.1.1.5.124)","https://mos.esante.gouv.fr/NOS/JDV_J47-FunctionCode-CISIS/FHIR/JDV-J47-FunctionCode-CISIS|20250523120000","",,,,"FRLMParticipant.role",0,1,"",""
"FRLMParticipant.period","FRLMParticipant.period","","","",0,1,"","","","Period {[]} {[]}
","Période de la participation","Période de la participation","","","","","","","","","",,,,,"",,,,"FRLMParticipant.period",0,1,"",""
"FRLMParticipant.participant","FRLMParticipant.participant","","","",1,1,"","","","Base {[]} {[]}
","Participant","Participant","","","","","","","","","",,,,,"",,,,"FRLMParticipant.participant",1,1,"",""
"FRLMParticipant.participant.participantProfessional","FRLMParticipant.participant.participantProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}
","Le participant est un professionnel de santé","Le participant est un professionnel de santé","","","","","","","","","",,,,,"",,,,"FRLMParticipant.participant.participantProfessional",0,*,"",""
"FRLMParticipant.participant.participantOrganisation","FRLMParticipant.participant.participantOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}
","Le participant est une organisation","Le participant est une organisation","","","","","","","","","",,,,,"",,,,"FRLMParticipant.participant.participantOrganisation",0,*,"",""
"FRLMParticipant.participant.participantDevice","FRLMParticipant.participant.participantDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDevice {[]} {[]}
","Le participant est un système","Le participant est un système","","","","","","","","","",,,,,"",,,,"FRLMParticipant.participant.participantDevice",0,*,"",""
