Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.document-core.json	95195	-	0	0	0	0	0	0	33	68	0	0	0	0	0	0	0	2	1	0	36	430	1371	0	0	0	16	0	6
fsh-generated/resources/ConceptMap-FRAdvanceDirectiveLMCDAFHIR.json	6874	5	0	0	1	0	0	0	1	22	0	0	0	0	0	0	0	0	0	1	16	61	192	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAdverseDrugReactionLMCDAFHIR.json	6632	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	13	63	106	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAllergyIntoleranceLMCDAFHIR.json	11404	4	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	12	88	112	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRAttachmentLMCDAFHIR.json	4623	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	13	41	100	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAttesterLMCDAFHIR.json	3514	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	31	110	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRAuthorLMCDAFHIR.json	3768	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	30	70	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRCarePlanLMCDAFHIR.json	4729	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	37	76	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRConditionLMCDAFHIR.json	8220	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	11	64	92	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRConsentLMCDAFHIR.json	2991	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	31	66	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRCustodianLMCDAFHIR.json	3130	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	28	92	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRDataEntererLMCDAFHIR.json	3520	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	30	61	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDeviceLMCDAFHIR.json	8015	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	10	55	75	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRDeviceUseLMCDAFHIR.json	9107	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	68	76	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FREncounterLMCDAFHIR.json	12909	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	7	91	80	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRFamilyMemberHistoryLMCDAFHIR.json	6741	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	7	55	144	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRHeaderDocumentLMCDAFHIR.json	14882	10	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	10	106	133	0	0	0	3	0	1
fsh-generated/resources/ConceptMap-FRHealthProfessionalLMCDAFHIR.json	9876	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	72	114	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImagingMedicationAministrationLMCDAFHIR.json	10064	6	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	77	103	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImagingProcedureLMCDAFHIR.json	7689	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	62	84	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingQuantityExposureLMCDAFHIR.json	4112	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	6	37	63	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRImagingSeriesLMCDAFHIR.json	10854	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	7	76	93	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImagingStudyLMCDAFHIR.json	7414	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	8	51	77	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRImmunisationLMCDAFHIR.json	9239	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	69	86	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRInformantLMCDAFHIR.json	4620	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	34	64	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRIntendedRecipientLMCDAFHIR.json	5700	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	42	68	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRLaboratoryBatteryResultsLMCDAFHIR.json	8483	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	65	82	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryIsolateResultsLMCDAFHIR.json	10671	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	11	75	94	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultClinicalElementLMCDAFHIR.json	10167	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	78	84	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLaboratoryResultsLMCDAFHIR.json	9849	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	11	69	83	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRLegalAuthenticationLMCDAFHIR.json	5395	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	39	64	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMediaLMCDAFHIR.json	6507	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	50	66	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationAdministrationLMCDAFHIR.json	14489	4	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	11	100	97	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-FRMedicationDispenseLMCDAFHIR.json	24546	7	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	1	0	0	8	160	125	0	0	0	5	0	1
fsh-generated/resources/ConceptMap-FRMedicationLMCDAFHIR.json	10014	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	6	72	78	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRMedicationRequestLMCDAFHIR.json	29462	5	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	7	198	140	0	0	0	11	0	0
fsh-generated/resources/ConceptMap-FRMedicationStatementLMCDAFHIR.json	21281	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	7	141	114	0	0	0	4	0	0
fsh-generated/resources/ConceptMap-FRObservationAssessmentLMCDAFHIR.json	6197	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	49	63	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRObservationLMCDAFHIR.json	9608	3	0	0	0	0	0	0	1	3923	0	0	0	0	0	0	0	0	0	0	7	65	3704	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRObservationMicroorganismDetectionLMCDAFHIR.json	7237	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	57	65	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRObservationMultiresistantMicroorganismsIdentificationLMCDAFHIR.json	8163	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	64	62	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRObservationPregnancyLMCDAFHIR.json	8576	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	10	64	66	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRObservationResultLMCDAFHIR.json	9183	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	10	69	71	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRObservationSocialHistoryLMCDAFHIR.json	3956	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	7	76	51	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRObservationVitalSignsLMCDAFHIR.json	6219	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	50	57	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FROrderLMCDAFHIR.json	4754	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	31	49	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FROrganisationLMCDAFHIR.json	5807	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	39	58	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRParticipantCorpsLMCDAFHIR.json	6358	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	46	57	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRParticipantHeaderLMCDAFHIR.json	6782	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	49	58	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRPatientLMCDAFHIR.json	10974	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	7	77	60	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRPregnancyHistoryLMCDAFHIR.json	7829	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	58	113	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRProcedureLMCDAFHIR.json	7554	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	6	56	55	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRRelatedPersonLMCDAFHIR.json	11927	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6	81	72	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-FRSectionAddendumLMCDAFHIR.json	3256	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	30	43	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionAdvanceDirectivesLMCDAFHIR.json	3625	3	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	6	26	600	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionAlertsLMCDAFHIR.json	3265	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	27	35	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionAllergiesAndIntolerancesLMCDAFHIR.json	3766	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	30	34	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionAttachmentsLMCDAFHIR.json	3933	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	31	36	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionCarePlansLMCDAFHIR.json	3795	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	43	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionComparisonStudyLMCDAFHIR.json	2984	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	25	36	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionConclusionLMCDAFHIR.json	3417	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	6	27	37	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionDicomStudyMetadataLMCDAFHIR.json	3591	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	29	34	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionExaminationReportLMCDAFHIR.json	7184	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	52	50	0	1	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionExposureInformationLMCDAFHIR.json	4279	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	35	36	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionFamilyMedicalHistoryLMCDAFHIR.json	3672	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	29	35	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-FRSectionFunctionalStatusLMCDAFHIR.json	4438	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	35	35	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionHazardousWorkingConditionsLMCDAFHIR.json	3230	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	26	32	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionHospitalDischargeMedicationsLMCDAFHIR.json	3802	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	31	44	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionImmunisationsLMCDAFHIR.json	3466	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	28	45	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionLaboratoryChapterLMCDAFHIR.json	3904	3	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	0	0	5	28	1132	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionLaboratorySecondIntentionResultsLMCDAFHIR.json	4421	2	0	0	0	0	0	0	0	793	0	0	0	0	0	0	0	0	0	0	6	27	1145	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionLaboratorySubChapterLMCDAFHIR.json	3592	3	0	0	0	0	0	0	1	698	0	0	0	0	0	0	0	0	0	0	6	27	966	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicalDevicePrescriptionsLMCDAFHIR.json	4254	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	38	34	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicalDevicesAndImplantsLMCDAFHIR.json	3693	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	31	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicalHistoryLMCDAFHIR.json	3579	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	29	31	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicationDispenseLMCDAFHIR.json	3696	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	33	39	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicationRequestLMCDAFHIR.json	4131	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	37	48	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionMedicationSummaryLMCDAFHIR.json	3557	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	29	35	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionNoteLMCDAFHIR.json	2816	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	25	30	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionOrderInformationLMCDAFHIR.json	3599	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	29	32	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionPatientEducationLMCDAFHIR.json	4580	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	36	35	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionPredictableAdverseDrugReactionLMCDAFHIR.json	3573	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	30	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionPregnancyHistoryLMCDAFHIR.json	4679	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	37	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionPresentedFormLMCDAFHIR.json	3491	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	29	33	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionProblemsLMCDAFHIR.json	3375	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	27	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionProceduresLMCDAFHIR.json	3407	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	31	45	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionQRCodeLMCDAFHIR.json	3343	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	38	35	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionReasonForReferralLMCDAFHIR.json	4095	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	33	35	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-FRSectionResultsLMCDAFHIR.json	3502	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	29	39	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionSocialHistoryLMCDAFHIR.json	3550	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	29	42	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-FRSectionSupportingInformationLMCDAFHIR.json	12815	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	80	48	0	0	0	2	0	0
